
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:60526        127.0.0.1:62031        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62074        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62097        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62098        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62099        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62100        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62101        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62109        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62110        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62111        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62112        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62113        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62117        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62118        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62119        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62120        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62121        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62125        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62126        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62127        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62129        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62133        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62134        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62136        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62137        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62138        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62139        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62140        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62141        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62145        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62146        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62147        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62148        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62151        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62153        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62154        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62155        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62156        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62157        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62158        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62159        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62161        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62162        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62163        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62164        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62165        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62167        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62168        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62169        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62170        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62171        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62177        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62178        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62179        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62180        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62181        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62183        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62184        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62185        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62189        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62190        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62193        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62194        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62195        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62196        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62197        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62199        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62201        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62202        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62203        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62237        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62238        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62239        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62241        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62244        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62245        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62246        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62247        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62248        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62251        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62252        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62253        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62254        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62258        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62259        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62260        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62261        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62262        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62266        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62267        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62268        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62269        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62270        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62273        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62274        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62275        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62276        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62277        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62278        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62279        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62281        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62282        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62283        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62291        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62292        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62294        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62295        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62296        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62297        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62298        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62300        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62301        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62303        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62304        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62305        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62306        TIME_WAIT       0
